split,capture_id,pose_id,frame_id,tag_id,corner_index,observed_u_px,observed_v_px,predicted_u_px,predicted_v_px,residual_u_px,residual_v_px,radial_error_px,depth_m
training,capture_004,pose_004,capture_004_005,1,0,728.0809936523438,473.9668884277344,725.3800120967318,471.4488069148982,-2.7009815556119747,-2.5180815128361473,3.692700349208322,0.4108814245969694
training,capture_004,pose_004,capture_004_005,1,1,678.4169311523438,509.5534973144531,673.7402243316405,508.2895794025811,-4.6767068207032025,-1.2639179118719994,4.844489155190951,0.40031991943013856
training,capture_004,pose_004,capture_004_005,1,2,667.7127685546875,465.5131530761719,661.7937271899112,462.62743899272465,-5.9190413647762625,-2.885714083447226,6.585013018160109,0.38089818381900636
training,capture_004,pose_004,capture_004_005,1,3,719.734619140625,428.8731384277344,716.3178663404585,425.1908176407497,-3.4167528001664778,-3.6823207869846897,5.023314252135238,0.39145968898583716
training,capture_004,pose_004,capture_004_005,3,0,668.0,518.0,658.1616315625735,508.3610789581053,-9.838368437426539,-9.638921041894719,13.773245527559272,0.40193955513211255
training,capture_004,pose_004,capture_004_005,3,1,627.5706787109375,476.9737548828125,620.1809442220572,472.91451569061223,-7.389734488880322,-4.059239192200266,8.431227587702871,0.4222188745107871
training,capture_004,pose_004,capture_004_005,3,2,615.0,435.0,606.3014681727318,428.0292130406657,-8.698531827268198,-6.970786959334305,11.147032196168764,0.4027971388996549
training,capture_004,pose_004,capture_004_005,3,3,651.4714965820312,466.1937255859375,645.4747392752672,462.8959089231047,-5.996757306764039,-3.2978166628328154,6.843733844757966,0.38251781952098035
training,capture_004,pose_004,capture_004_005,5,0,670.663818359375,386.3540344238281,666.0477205194613,379.8851364796457,-4.616097839913664,-6.468897944182402,7.947012009548174,0.4118819389924355
training,capture_004,pose_004,capture_004_005,5,1,710.1671752929688,415.6730041503906,707.4061966058536,411.44979605794737,-2.7609786871151982,-4.223208092443258,5.04564068308303,0.3916026196137609
training,capture_004,pose_004,capture_004_005,5,2,658.1450805664062,450.6260070800781,652.6555006003416,448.49150802997303,-5.489579966064639,-2.1344990501050916,5.88995538172555,0.3810411144469301
training,capture_004,pose_004,capture_004_005,5,3,620.4696655273438,419.0755310058594,612.9752323370639,414.22439193257384,-7.494433190279892,-4.8511390732855375,8.927490081312133,0.40132043382560467
training,capture_005,pose_005,capture_005_000,1,0,870.3721923828125,571.027587890625,866.781667669558,563.5152042748073,-3.5905247132544673,-7.5123836158177255,8.32633024253168,0.3716322835855177
training,capture_005,pose_005,capture_005_000,1,1,807.6341552734375,598.1793212890625,801.8994700947019,591.8047221027585,-5.734685178735617,-6.3745991863039535,8.574504585411159,0.36572643262619065
training,capture_005,pose_005,capture_005_000,1,2,807.500732421875,555.8870849609375,801.4248047212776,548.359880216729,-6.07592770059739,-7.527204744208461,9.673453813613888,0.345225877203026
training,capture_005,pose_005,capture_005_000,1,3,874.0270385742188,527.612060546875,870.1030830356525,519.1494200726606,-3.923955538566247,-8.462640474214368,9.328114003615946,0.3511317281623531
training,capture_005,pose_005,capture_005_000,5,0,828.6397094726562,460.3516540527344,824.5126175514948,450.29504146234024,-4.127091921161423,-10.056612590394138,10.870526414069825,0.3723216298558064
